8.4990 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1710, 1112]. Using actual size
9.4952 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe3c0ad7d90>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe3c0ad7fa0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe3c0ad7dc0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fe3c6ec91f0>, multiSample=False, name='window1', numSamples=2, pos=[427.5, 278.0], screen=0, size=array([3420, 2224]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.4954 	EXP 	window1: mouseVisible = True
9.4955 	EXP 	window1: backgroundImage = ''
9.4955 	EXP 	window1: backgroundFit = 'none'
9.4971 	EXP 	window1: mouseVisible = False
9.5005 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.5005 	EXP 	window1: recordFrameIntervals = False
9.5845 	EXP 	window1: recordFrameIntervals = True
9.6287 	WARNING 	t of last frame was 10.89ms (=1/91)
9.6622 	WARNING 	t of last frame was 12.63ms (=1/79)
9.6956 	WARNING 	t of last frame was 11.19ms (=1/89)
9.7289 	WARNING 	t of last frame was 11.06ms (=1/90)
9.7621 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
10.4175 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.0783 	EXP 	window1: mouseVisible = True
13.1243 	EXP 	Created text_test_stage = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='LiHei Pro', fontFiles=[], height=60.0, italic=False, languageStyle='LTR', name='text_test_stage', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='本階段為測試階段\n\n本階段不會計算報酬', units='pix', win=Window(...), wrapWidth=1920.0)
13.1244 	EXP 	window1: mouseVisible = True
13.1294 	EXP 	Created text_waitTrigger = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_waitTrigger', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
13.1295 	EXP 	window1: mouseVisible = True
13.1318 	EXP 	Created text_waitTen = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1.,  1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_waitTen', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
13.1319 	EXP 	window1: mouseVisible = True
13.1441 	EXP 	Created text_new_round = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='LiHei Pro', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='text_new_round', opacity=1.0, ori=0.0, pos=array([0.  , 0.32]), rgb=UNKNOWN, text='新回合開始，目標數字 6', units='height', win=Window(...), wrapWidth=1920)
13.1442 	EXP 	window1: mouseVisible = True
13.1497 	EXP 	Created text_current_num = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='LiHei Pro', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='text_current_num', opacity=1.0, ori=0.0, pos=array([-0.28,  0.04]), rgb=UNKNOWN, text='當前數字 \n0', units='height', win=Window(...), wrapWidth=1920.0)
13.1498 	EXP 	window1: mouseVisible = True
13.1527 	EXP 	Created text_target_num = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='LiHei Pro', fontFiles=[], height=0.08, italic=False, languageStyle='LTR', name='text_target_num', opacity=1.0, ori=0.0, pos=array([0.28, 0.04]), rgb=UNKNOWN, text='目標數字 \n6', units='height', win=Window(...), wrapWidth=1920.0)
13.1528 	EXP 	window1: mouseVisible = True
